Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Rating,Reviews
Men'S Adidas Running Weave Shoes,CL7264,4999.0,2999.0,0.4,Adidas Core / Neo,2.7,80
Men'S Adidas Running Nepton 2.0 Shoes,CL7472,5599.0,2799.0,0.5,Adidas Core / Neo,4.5,75
Men'S Adidas Sport Inspired Lyrid Slip-Ons,CL7560,4599.0,2299.0,0.5,Adidas Core / Neo,3.8,90
Men'S Adidas Original X_Plr Shoes,EE4574,7599.0,4559.0,0.4,Adidas Originals,4.0,68
Men'S Adidas Running Kyris 4.0 Shoes,CL7445,4299.0,2149.0,0.5,Adidas Core / Neo,4.6,15
Men'S Adidas Sport Inspired Quickspike Shoes,CL7404,3999.0,1999.0,0.5,Adidas Core / Neo,3.8,64
Men'S Adidas Running Flank Shoes,CL7515,5299.0,2649.0,0.5,Adidas Core / Neo,3.3,79
Men'S Adidas Originals Zx 4000 Shoes,EE4763,7999.0,4799.0,0.4,Adidas Originals,4.1,70
Men'S Adidas Running Supervega Shoes,CL7616,3999.0,2399.0,0.4,Adidas Core / Neo,1.0,68
Men'S Adidas Sport Inspired Factor Shoes,CL7591,4299.0,2149.0,0.5,Adidas Core / Neo,4.4,23
Men'S Adidas Outdoor Elevate 2018 Sandals,CK9831,2799.0,1399.0,0.5,Adidas Sport Performance,3.3,70
Men'S Adidas Americana Low Shoes,EF2508,6599.0,3959.0,0.4,Adidas Originals,4.9,42
Men'S Adidas Running Kalus 1.0 Shoes,CL7495,4599.0,2299.0,0.5,Adidas Core / Neo,3.8,77
Men'S Adidas Originals Yung-96 Shoes,EE5592,10999.0,6599.0,0.4,Adidas Originals,4.1,52
Men'S Adidas Originals A.R. Trainers,EE5398,7999.0,4799.0,0.4,Adidas Originals,4.5,92
Men'S Adidas Originals Fyw S-97 Shoes,EE5304,12999.0,7799.0,0.4,Adidas Originals,4.5,29
Men'S Adidas Originals Yung-96 Shoes,EE7242,7999.0,4799.0,0.4,Adidas Originals,4.5,93
Men'S Adidas Swim Bise Slippers,CM0064,1499.0,749.0,0.5,Adidas Core / Neo,2.6,24
Men'S Adidas Sport Inspired Grand Court Shoes,EE7885,6599.0,3959.0,0.4,Adidas Core / Neo,2.2,1
Men'S Adidas Swim Salon Slippers,CM0049,1499.0,899.0,0.4,Adidas Core / Neo,2.4,83
Men'S Adidas Running Kollide Shoes,CL7548,4799.0,2399.0,0.5,Adidas Core / Neo,3.9,68
Men'S Adidas Outdoor Siki Shoes,CK1088,5599.0,2799.0,0.5,Adidas Sport Performance,3.5,73
Men'S Adidas Running Weave Shoes,CL7263,4999.0,2499.0,0.5,Adidas Core / Neo,3.6,50
Men'S Adidas Running Stargon 1.0 Shoes,CL7483,4599.0,2299.0,0.5,Adidas Core / Neo,5.0,61
Women'S Adidas Sport Inspired Run 70S Shoes,F34340,6599.0,3299.0,0.5,Adidas Core / Neo,2.2,35
Men'S Adidas Sport Inspired Factor Shoes,CL7590,4299.0,2149.0,0.5,Adidas Core / Neo,4.4,98
Men'S Adidas Outdoor Andorian Shoes,CM0030,4599.0,2299.0,0.5,Adidas Sport Performance,4.0,49
Men'S Adidas Running Raddis 1.0 Shoes,CL7468,5599.0,2799.0,0.5,Adidas Core / Neo,1.5,50
Women'S Adidas Sport Inspired Cloudfoam Pure Shoes,EE8076,5599.0,3359.0,0.4,Adidas Core / Neo,2.9,52
Men'S Outdoor Ediffin Ii Sandals,CM5955,2999.0,2999.0,0.0,Adidas Sport Performance,3.4,91
Men'S Adidas Swim Adilette Cloudfoam Plus Logo Slides,B44870,2999.0,2999.0,0.0,Adidas Core / Neo,4.7,51
Men'S Adidas Running Weave Shoes,CL7265,4999.0,2499.0,0.5,Adidas Core / Neo,2.5,81
Men'S Adidas Running Stargon 1.0 Shoes,CL7484,4599.0,2299.0,0.5,Adidas Core / Neo,3.7,48
Men'S Adidas Sport Inspired Runigma Shoes,CL7537,5999.0,3599.0,0.4,Adidas Core / Neo,3.6,98
Women'S Adidas Sport Inspired Qt Racer Shoes,EE8088,4599.0,2759.0,0.4,Adidas Core / Neo,4.2,9
Men'S Adidas Running Furato Shoes,CL7577,5599.0,2799.0,0.5,Adidas Core / Neo,1.5,35
Men'S Adidas Swim Ozor Iii Slippers,CM0058,1299.0,779.0,0.4,Adidas Core / Neo,4.3,78
Men'S Adidas Sport Inspired Advantage Base Shoes,EE7698,4999.0,2999.0,0.4,Adidas Core / Neo,1.0,90
